record_id,field,value,language,status,source_url,checked_on,note
61,library,Early Manuscripts at Oxford University,,pending,,,
62,library,New Digital Bodleian,,pending,https://digital.bodleian.ox.ac.uk/collections/western-medieval-manuscripts/,2026-09-22,The current value names a portal rather than a holder; this collection includes manuscripts held by the Bodleian and Oxford colleges so the preferred institution name needs an editorial decision.
62,access_point_title,Western Medieval Manuscripts,,verified,https://digital.bodleian.ox.ac.uk/collections/western-medieval-manuscripts/,2026-09-22,The collection page publishes this title and says it includes manuscripts from the Bodleian and Oxford colleges.
63,library,The British Library,,verified,https://www.bl.uk/collection/digitised-manuscripts-archives,2026-09-23,The current access page names the British Library as holder. ID 49 shares this URL; the historical Catalogue of Illuminated Manuscripts scope needs separate review.
64,library,"St. John's College Library, University of Cambridge",,pending,,,
65,library,The Courtauld Institute of Art,,pending,,,
66,library,Victoria and Albert Museum,,pending,,,
67,library,"University College London,  Medieval Manuscript Fragments Imaging Project",,pending,,,
68,library,Lambeth Palace Library,,pending,,,
69,library,Durham Priory Library Recreated,,pending,,,
70,library,Chetham's Library,,pending,,,
71,library,Wellcome Library,,pending,,,
72,library,Eesti Ajaloomuuseum - Estonian History Museum,,pending,,,
73,library,Estonian Historical Archives,,pending,,,
74,library,Tallinn City Archives,,pending,,,
75,library,National Library of Finland,,pending,,,
76,library,Abo Akademis bibliotek,,pending,,,
77,library,Finnish Literature Society,,pending,,,
78,library,Bibliothèque Marceline Desbordes-Valmore,,verified,https://arca.irht.cnrs.fr/repository/475,2026-09-22,ARCA links collection 1725 to this Douai repository and lists this branch name; the city also publishes this name for the main library and its heritage manuscripts.
79,library,Bibliothèque Carnegie,,pending,,,
80,library,Médiathèque Toussaint,,pending,,,
81,library,Bibliothèque de la Part-Dieu,,pending,,,
82,library,Bibliotheque numerique,,pending,,,
83,library,Bibliothèque d’étude et du patrimoine,,pending,,,
84,library,Bibliothèque Sainte-Geneviève,,pending,,,
85,library,Médiathèque Simone Veil,,pending,,,
86,library,Bibliothèque Louis Aragon,,pending,,,
87,library,Bibliothèque municipale,,pending,,,
88,library,Bibliothèque universitaire Historique de Médecine,,pending,,,
89,library,Bibliothèque interuniversitaire de la Sorbonne,,pending,,,
90,library,Bibliothèque nationale et universitaire,,pending,,,
91,library,Bibliothèque Ceccano,,pending,,,
92,library,Bibliothèque municipale,,pending,,,
93,library,Bibliothèque des Beaux-Arts,,pending,,,
94,library,Bibliothèque municipale d'étude et de conservation,,pending,,,
95,library,Médiathèque,,pending,,,
96,library,Bibliothèque patrimoniale,,pending,,,
97,library,Bibliothèque Inguimbertine,,pending,,,
99,library,Bibliothèque Alexis de Tocqueville,,pending,,,
100,library,Bibliothèque municipale et patrimoniale Villon,,verified,https://rouen.fr/adresse/bibliotheque-villon,2026-09-23,ARCA collection 2575 links to repository 548 at the same Villon street address.
101,library,Bibliothèque Bussy-Rabutin,,pending,,,
102,library,Bibliothèque Méjanes,,pending,,,
103,library,Bibliothèque des Quatre piliers,,verified,https://www.bourges.fr/site/bibliotheques?accessibilite=1,2026-09-23,ARCA collection 1503 links to repository 138 at the same Quatre-Piliers street address.
104,library,Médiathèque de la communauté urbaine d'Alençon,,pending,,,
105,library,Musée de Cluny,,pending,,,
106,library,Bibliothèque des Dominicains,,pending,,,
107,library,Bibliothèque Gaspard-Monge,,pending,,,
108,library,Bibliothèque l'Alcazar,,pending,,,
109,library,Médiathèque Pierre-Amalric,,pending,,,
110,library,Médiathèque Astrolabe,,pending,,,
111,library,Médiathèque de l'Abbaye Saint-Vaast,,pending,,,
113,library,Médiathèque L'Apostrophe,,pending,,,
114,library,Bibliothèque municipale,,pending,,,
115,library,Bibliothèque municipale,,pending,,,
116,library,Bibliothèque de l'abbaye Saint-Pierre,,pending,,,
117,library,Bibliothèque patrimoniale,,pending,,,
118,library,Bibliothèque municipale,,pending,,,
119,library,Archives diocésaines,,pending,,,
120,library,Archives départementales de Tarn-et-Garonne,,pending,,,
121,library,"Bibliothèque patrimoniale, fonds ancien",,pending,,,
122,library,Médiathèque Jean-Jacques Rousseau,,pending,,,
123,library,Bibliothèque municipale,,pending,,,
124,library,Bibliothèque municipale,,pending,,,
125,library,Bibliothèque municipale Jullien de Laillier,,pending,,,
126,library,Bibliotheque de Rennes Metropole,,pending,,,
127,library,Bibliothèque d'Études,,pending,,,
128,library,Musée historique et archéologique,,pending,,,
129,library,Bibliothèque Jacques-Prévert,,pending,,,
130,library,Médiathèque Jean Levy,,pending,,,
131,library,Bibliothèque d’Agglomération du Pays de Saint-Omer,,pending,,,
132,library,Bibliothèque Marcel Arland,,pending,,,
133,library,Bibliothèque municipale,,pending,,,
134,library,Bibliothèque André Malraux,,pending,,,
135,library,Bibliothèque municipale,,pending,,,
136,library,Bibliothèque municipale,,pending,,,
137,library,Bibliothèque municipale,,pending,,,
138,library,Médiathèque André-Malraux,,pending,,,
139,library,Médiathèque Équinoxe,,pending,,,
140,library,Bibliothèque municipale,,pending,,,
141,library,Médiathèque Le Dôme,,pending,,,
142,library,Bibliothèque municipale,,pending,,,
143,library,Bibliothèque municipale,,pending,,,
144,library,Bibliothèque de la Société des lettres de l'Aveyron,,pending,,,
145,library,Bibliothèque municipale,,pending,,,
146,library,Médiathèque Simone-Veil,,pending,,,
147,library,Médiathèque de la Vieille-Île,,pending,,,
148,library,Bibliothèque municipale,,pending,,,
149,library,Château-Musée,,pending,,,
150,library,Bibliothèque patrimoniale et de recherche du Grand Cahors,,pending,,,
151,library,Bibliothèque municipale,,pending,,,
152,library,Archives Historiques du diocèse de Nantes,,pending,,,
153,library,Bibliothèque municipale,,pending,,,
154,library,Médiathèque de Castres-Sidobre,,verified,https://www.ville-castres.fr/mediatheque/,2026-09-23,ARCA collection 3127 links to repository 411 at the same 2 avenue du Sidobre address.
155,library,Bibliothèque du Chapitre métropolitain (Notre-Dame),,pending,,,
156,library,"Université catholique de l'Ouest, Bibliothèque universitaire",,pending,,,
157,library,Bibliothèque municipale,,pending,,,
158,library,Bibliothèque municipale,,pending,,,
159,library,Bibliothèque municipale,,pending,,,
160,library,Médiathèque Verlaine,,pending,,,
161,library,Bibliothèque municipale,,pending,,,
162,library,Médiathèque Simone Veil,,pending,,,
163,library,Bibliothèque municipale,,pending,,,
164,library,"Archives municipales, cf. AD82 (dépôt)",,pending,,,
165,library,Musée d'Art et d'Histoire Romain Rolland,,pending,,,
166,library,Bibliothèque diocésaine,,pending,,,
167,library,Musée des Beaux-Arts,,pending,,,
168,library,Médiathèque Jean-Jaurès,,pending,,,
169,library,Bibliothèque municipale,,pending,,,
170,library,Bibliothèque municipale,,pending,,,
171,library,Bibliothèque municipale,,pending,,,
172,library,Mairie,,pending,,,
173,library,Archives municipales,,pending,,,
174,library,Bibliothèque municipale,,pending,,,
175,library,Médiathèque François Mitterrand,,pending,,,
176,library,Bibliothèque municipale,,pending,,,
177,library,Bibliothèque universitaire,,pending,,,
178,library,Médiathèque Communautaire,,pending,,,
179,library,Bibliothèque municipale,,pending,,,
180,library,Médiathèque François-Mitterrand,,pending,,,
181,library,Médiathèque La Boussole,,pending,,,
182,library,Bibliothèque municipale,,pending,,,
183,library,Bibliothèque municipale,,pending,,,
184,library,Bibliotheque municipale de Grenoble,,pending,,,
185,library,Bibliotheque Mazarine,,pending,,,
186,library,Bibliotheque Sainte-Genevieve,,pending,,,
187,library,Bibliotheque municipale,,pending,,,
188,library,Archives départementales de Seine-et-Marne,,pending,,,
192,library,Bibliothèque Mériadeck,,pending,,,
193,library,Musée national et domaine du château de Pau,,pending,,,
194,library,Archives départementales de la Gironde,,pending,,,
197,library,Médiathèque municipale Lacépède,,pending,,,
199,library,Bibliotheque municipale de Dijon,,pending,,,
200,library,Mediatheque du Grand Troyes - Jacques-Chirac de Troyes Champagne Métropole,,pending,,,
202,library,Musée des Beaux-Arts,,pending,,,
203,library,Archives départementales du Tarn,,pending,,,
204,library,Banque d'images - Bibliotheque Nationale de France,,pending,,,
205,library,Musée Dobrée,,pending,,,
206,library,Bibliotheque Nationale de France,,pending,,,
207,library,Bibliothèque Jacques Lacarrière,,pending,,,
208,library,Bibliothèque francophone multimedia,,pending,,,
209,library,Bibliothèque Centrale,,pending,,,
210,library,Bibliothèque des Annonciades,,pending,,,
211,library,Gallica - Bibliotheque Nationale de France,,pending,,,
213,library,Médiathèque Voyelles,,pending,,,
214,library,Bibliotheque numerique,,pending,,,
215,library,Archives diocésaines,,pending,,,
216,library,Musée du Verre,,pending,,,
217,library,Médiathèque Louis-Aragon,,pending,,,
218,library,Bibliotheque municipale,,pending,,,
220,library,Archives Departementales du Jura,,pending,,,
221,library,Archives Departementales de la Haute-Savoie,,pending,,,
222,library,Médiathèque Luxembourg,,pending,,,
223,library,Médiathèque les silos (BM),,pending,,,
224,library,Bibliotheque municipale,,pending,,,
225,library,Médiathèque Jean-Christophe Rufin,,pending,,,
226,library,Fonds du Chapitre Cathedral,,pending,,,
227,library,Bibliotheque Municipale,,pending,,,
228,library,Bibliotheques de Chalons,,pending,,,
229,library,Mediatheque Communautaire,,pending,,,
230,library,Archives Departementales de la Meuse,,pending,,,
231,library,Badische Landesbibliothek,,pending,,,
232,library,Herzog August Bibliothek,,pending,,,
233,library,Münchener Digitalisierungszentrum (MDZ),,pending,,,
234,library,Erzbischoflichen Diozesan- und Dombibliothek Köln (DDB),,pending,,,
235,library,Staatsbibliothek zu Berlin - Preussischer Kulturbesitz,,pending,,,First name-review batch; verify the holding institution and access-point scope.
236,library,Staatsbibliothek Bamberg,,pending,,,
237,library,Universitätsbibliothek Heidelberg,,pending,,,
238,library,Universitäts- und Landesbibliothek Düsseldorf,,pending,,,First name-review batch; verify the holding institution and access-point scope.
239,library,Universitätsbibliothek Augsburg,,pending,,,
240,library,Humboldt University Library,,pending,,,
241,library,Universitäts- und Landesbibliothek Darmstadt,,pending,,,
242,library,Sachsische Landesbibliothek – Staats- und Universitätsbibliothek Dresden (SLUB),,pending,,,
244,library,Universitätsbibliothek Würzburg,,pending,,,
245,library,Universitätsbibliothek Gießen,,pending,,,
246,library,"Bibliothek des Bischoflichen Priesterseminars, Bistumsarchiv, Stadtbibliothek Trier",,pending,,,
247,library,Thüringer Universitäts- und Landesbibliothek Jena,,pending,,,
248,library,Hochschul- und Landesbibliothek Fulda,,pending,,,
249,library,Universitätsbibliothek Kassel,,pending,,,
250,library,Historisches Archiv der Stadt Köln,,pending,,,
251,library,Herzogin Anna Amalia Bibliothek,,pending,,,
252,library,Goethe-Universitat Frankfurt am Main Universitätsbibliothek,,pending,,,
253,library,Württembergische Landesbibliothek,,pending,,,
254,library,Albert-Ludwigs-Universitat Freiburg,,pending,,,
255,library,Universitätsbibliothek Tubingen,,pending,,,
256,library,Staatliche Bibliothek (Schlosbibliothek),,pending,,,
257,library,Kirchenbibliothek Sankt Marien,,pending,,,
258,library,Universitäts- und Landesbibliothek Bonn,,pending,,,
259,library,Universitäts- und Landesbibliothek Darmstadt,,pending,,,
260,library,Studienbibliothek Dillingen,,pending,,,
261,library,Universitäts- und Landesbibliothek Düsseldorf,,pending,,,First name-review batch; verify the holding institution and access-point scope.
262,library,Geistliches Ministerium Greifswald,,pending,,,
263,library,Universitätsbibliothek Greifswald,,pending,,,
264,library,Universitätsbibliothek Leipzig,,pending,,,
265,library,Hessisches Staatsarchiv Marburg,,pending,,,
266,library,Bibliothek des Klosters Maria-Medingen,,pending,,,
267,library,Bayerische Staatsbibliothek,,pending,,,First name-review batch; verify the holding institution and access-point scope.
268,library,Stadtarchiv der Hansestadt Stralsund,,pending,,,
269,library,LMU University Library,,pending,,,
270,library,Universitätsbibliothek Rostock,,pending,,,
271,library,Staatliche Museen zu Berlin,,pending,,,
272,library,Bamberg State Library,,pending,,,
273,library,Pracht auf Pergament,,pending,,,
274,library,Hofbibliothek Aschaffenburg,,pending,,,
275,library,Staatsbibliothek zu Berlin - Preussischer Kulturbesitz,,pending,,,First name-review batch; verify the holding institution and access-point scope.
276,library,Johannes Gutenberg Universität,,pending,,,
277,library,Universitäts- und Forschungsbibliothek Erfurt/Gotha,,pending,,,
278,library,Universitäts- und Landesbibliothek (ULB),,pending,,,
279,library,Stadtbibliothek,,pending,,,
280,library,Benediktinerinnenkloster,,pending,,,
281,library,Archiv der Zisterzienserinnenabtei,,pending,,,
283,library,Universitätsbibliothek,,pending,,,
284,library,Germanischen Nationalmuseum,,pending,,,
285,library,Friedrich-Alexander-Universität - Erlangen-Nürnberg,,pending,,,
286,library,Rhineland-Palatinate,,pending,,,
287,library,Staats- und Stadtbibliothek Augsburg,,pending,,,
288,library,Benediktinerkloster St. Emmeram,,pending,,,
289,library,Bibliothek Oettingen Wallerstein,,pending,,,
290,library,Staats- und Universitätsbibliothek,,pending,,,
291,library,Bibliotheca Laureshamensis,,pending,,,
292,library,Universitätsbibliothek Mannheim,,pending,,,
293,library,Bibliothek Mecklenburg-Vorpommern,,pending,,,
294,library,Benediktinerabtei,,pending,,,
295,library,Stiftbibliothek,,pending,,,
296,library,Landesarchiv Sachsen-Anhalt,,pending,,,
297,library,Sächsisches Hauptstaatsarchiv,,pending,,,
298,library,"Seminar für Mittlere und Neuere Geschichte der Georg-August-Universität, Diplomatischer Apparat",,pending,,,
299,library,Historisches Archiv der Stadt,,pending,,,
300,library,Stiftung Dome und Schlösser in Sachsen Anhalt,,pending,,,
301,library,Schloss Hundisburg [=ehem. Depositum Sammlung Alvensleben],,pending,,,
302,library,Staatsarchiv,,pending,,,
303,library,Museum der Stadt,,pending,,,
304,library,Hauptstaatsarchiv,,pending,,,
305,library,Stadtarchiv,,pending,,,
306,library,Juleum (ehemalige Universitätsbibliothek),,pending,,,
307,library,Stadtarchiv,,pending,,,
308,library,Historisches Museum,,pending,,,
309,library,Ratsbücherei,,pending,,,
310,library,Stiftskirche,,pending,,,
311,library,"Niedersächsisches Landesarchiv, Abteilung Wolfenbüttel",,pending,,,
312,library,Virtuelle Bibliothek Corvey,,pending,,,
313,library,Stadtbibliothek,,pending,,,
314,library,National Szechenyi Library,,pending,,,
315,library,National Szechenyi Library Multimedia Project,,pending,,,
316,library,Stofnun Arna Magnussonar,,pending,,,
317,library,Royal Irish Academy,,pending,,,
318,library,National Library of Ireland,,pending,,,First name-review batch; verify the holding institution and access-point scope.
319,library,Trinity College Dublin,,pending,,,
320,library,University College Dublin,,pending,,,
321,library,Maynooth University,,pending,,,
322,library,Mount Melleray Abbey,,pending,,,
323,library,University of Galway,,pending,,,
324,library,University College Cork,,pending,,,
325,library,Clonalis House,,pending,,,
326,library,Coláiste na Rinne,,pending,,,
327,library,School of Celtic Studies,,pending,,,
329,library,Dublin City University,,pending,,,
330,library,Marsh's Library,,pending,,,
332,library,Trinity College Dublin,,pending,,,
333,library,Chester Beatty Library,,pending,,,
334,library,Benjamin Iveagh Library,,pending,,,
335,library,Biblioteca Medicea Laurenziana,,pending,,,
336,library,Fondo Antico presso la Biblioteca del Sacro Convento,,pending,,,
337,library,Biblioteca Estense Universitaria,,pending,,,
338,library,Biblioteca comunale Augusta,,pending,,,
339,library,Biblioteca Teresiana,,pending,,,
340,library,Collegio di Spagna,,pending,,,
341,library,Archivio dell'Opera di Santa Maria del Fiore di Firenze,,pending,,,
342,library,Biblioteca capitolare,,pending,,,
343,library,Biblioteca civica Cristoforo Sabbadino,,pending,,,
344,library,Biblioteca del Museo Correr,,pending,,,
345,library,Biblioteca Medica 'V.Pinali',,pending,,,
346,library,Santa Maria della Fava,,pending,,,
347,library,International Museum and Library of Music of Bologna,,pending,,,
348,library,Biblioteca dell'Archiginnasio,,pending,,,
349,library,Biblioteca Civica Barrili,,pending,,,
350,library,Biblioteca Civica L. Berio,,pending,,,
351,library,Archivio Storico Diocesano di Modena-Nonantola,,pending,,,
352,library,Biblioteca Digitale Ligure,,pending,,,
354,library,Biblioteca Nazionale Centrale di Firenze,,pending,,,
355,library,Biblioteca Comunale degli Intronati,,pending,,,
356,library,Archivio Capitolare,,pending,,,
357,library,Archivio parrocchiale,,pending,,,
358,library,Biblioteca Medicea Laurenziana,,pending,,,
359,library,Archivio di Stato di Firenze - Archivi Digitali,,pending,,,
360,library,Archivio di Stato di Firenze - Diplomatico,,pending,,,
361,library,Senshu University Library,,pending,,,
362,library,Utrecht University Library,,pending,,,
363,library,Koninklijke Bibliotheek - Nationale bibliotheek van Nederland (Including  Museum Meermanno | Huis van het Boek),,pending,,,
364,library,Universitaire Bibliotheken Leiden,,pending,,,
365,library,Utrechts Archief,,pending,,,
366,library,Museum Catharijneconvent: Collectie en Bibliotheek,,pending,,,
367,library,Huis Berg,,pending,,,
368,library,Tresoar,,pending,,,
369,library,Bibliotheek Rijksuniversiteit Groningen,,pending,,,
370,library,Zeeuwse Bibliotheek,,pending,,,
371,library,Rijksmuseum Twenthe,,pending,,,
372,library,Stadsarchief en Athenaeumbibliotheek,,pending,,,
373,library,Universiteitsbibliotheek Vrije Universiteit,,pending,,,
374,library,Universiteitsbibliotheek van de Radboud Universiteit,,verified,https://www.ru.nl/sites/default/files/2024-07/gebruiksvoorwaarden_digitale_bibliotheek.pdf,2026-09-23,Radboud uses this full form for its university library; its Bijzondere Collecties page identifies the library as holder of the manuscripts. The access point is Radboud's own digital Handschriften collection.
375,library,Rijksuniversiteit Groningen,,pending,,,
376,library,Museum Rotterdam,,pending,,,
377,library,Regionaal Archief Alkmaar,,pending,,,
378,library,The Ritman Library / Bibliotheca Philosophica Hermetica,,pending,,,
379,library,Historisch Centrum Overijssel,,pending,,,
380,library,Bibliotheek Rotterdam,,pending,,,
381,library,Universiteitsbibliotheek Tilburg University,,pending,,,
382,library,Rijksmuseum,,pending,,,
383,library,Openbare Bibliotheek Arnhem / Erfgoedcentrum Rozet,,pending,,,
384,library,Museum Huis Simon van Gijn,,pending,,,
385,library,Stadsarchief,,pending,,,
386,library,Stadsarchief en Atheneumbibliotheek,,pending,,,
387,library,Stedelijk Museum Zwolle,,pending,,,
388,library,Gemeentearchief Goes,,pending,,,
389,library,Streekarchief Midden-Holland,,pending,,,
390,library,Brabants Historisch Informatie Centrum (BHIC),,pending,,,
391,library,Huis Bergh,,pending,,,
392,library,Klooster Sint Aegten,,pending,,,
393,library,Teylers Museum,,pending,,,
394,library,Stadsbibliotheek Haarlem,,pending,,,
395,library,Erfgoed Leiden en Omstreken,,pending,,,
396,library,Alexander Turnbull Library,,verified,https://natlib.govt.nz/collections/a-z-of-all-collections/manuscripts/alexander-turnbull-library-collections,2026-09-24,The official National Library page identifies the Alexander Turnbull Library as the holding division; the older National Library name describes its parent institution.
397,library,Sir George Grey Special Collections,,pending,,,
398,library,University of Canterbury,,pending,,,
399,library,Riksarkivet - National Archives,,pending,,,
400,library,Digital Library of Wroclaw University,,pending,,,
401,library,Biblioteka Uniwersytecka w Toruniu,,pending,,,
402,library,Jagiellonian Library,,pending,,,First name-review batch; verify the holding institution and access-point scope.
403,library,Biblioteka Narodowa,,pending,,,
404,library,University Library (Biblioteka Uniwersytecka),,pending,,,
405,library,ARMARIUM dominikanska biblioteka cyfrowa,,pending,,,
406,library,Biblioteca Nacional de Portugal,,pending,,,
407,library,Biblioteca Geral da Universidade de Coimbra,,pending,,,
408,library,Biblioteca Central Universitara Cluj,,pending,,,
409,library,Batthyaneum Library – Branch of the National Library of Romania,,pending,,,First name-review batch; verify the holding institution and access-point scope.
411,library,National Library of Scotland,,pending,,,First name-review batch; verify the holding institution and access-point scope.
412,library,The Stair Society,,pending,,,
413,library,University of Glasgow,,pending,,,
414,library,University of Edinburgh,,pending,,,
415,library,The University of St Andrews,,pending,,,
416,library,National Library of Spain,,pending,,,
417,library,Real Biblioteca,,pending,,,
418,library,Universitat de Valencia,,pending,,,
419,library,Biblioteca Nacional de Catalunya,,pending,,,
420,library,Biblioteca de la Fundacion Lazaro Galdiano,,pending,,,
421,library,Biblioteca Historica Santa Cruz,,pending,,,
422,library,Biblioteca de la Universidad de Barcelona,,pending,,,
423,library,Biblioteca de la Real Academia de la Historia,,pending,,,
424,library,Biblioteca Valenciana Nicolau Primitiu,,pending,,,
425,library,Portal de Archivos Espanoles,,pending,,,
426,library,Universidad de Sevilla,,pending,,,
427,library,Biblioteca de Castilla y Leon,,pending,,,
428,library,Universidad de Salamanca,,pending,,,
430,library,Biblioteca de Montserrat,,pending,,,
431,library,Universidad de Zaragoza,,pending,,,
432,library,Lund University Library,,pending,,,
433,library,National Library of Sweden,,pending,,,First name-review batch; verify the holding institution and access-point scope.
434,library,Stiftsbibliothek,,pending,,,
435,library,Fondation Martin Bodmer,,pending,,,
436,library,Stiftsbibliothek,,pending,,,
437,library,Stiftsbibliothek,,pending,,,
438,library,Zentralbibliothek,,pending,,,
439,library,Bibliothèque de Genève,,pending,,,
440,library,"Kantonsbibliothek, Vadianische Sammlung",,pending,,,
441,library,Kantonsbibliothek Thurgau,,pending,,,
442,library,Stadtbibliothek,,pending,,,
443,library,armarium codicum bibliophilorum,,pending,,,
444,library,Burgerbibliothek,,pending,,,
445,library,Aargauer Kantonsbibliothek,,pending,,,
446,library,Zentral- und Hochschulbibliothek,,pending,,,
447,library,Bibliothèque cantonale et universitaire / Kantons- und Universitätsbibliothek,,pending,,,
448,library,Benediktinerkollegium,,pending,,,
449,library,Zentralbibliothek,,pending,,,
450,library,Stiftsarchiv (Abtei Pfäfers),,pending,,,
451,library,Dominikanerinnenkloster St. Katharina,,pending,,,
452,library,Universitätsbibliothek,,pending,,,
453,library,Couvent des Cordeliers/Franziskanerkloster,,pending,,,
454,library,Kantonsbibliothek Appenzell Ausserrhoden,,pending,,,
455,library,Archives de l'État de Fribourg/Staatsarchiv Freiburg,,pending,,,
456,library,Staatsarchiv Aargau,,pending,,,
457,library,Archives du Chapitre/Kapitelsarchiv,,pending,,,
458,library,Bibliothèque publique et universitaire de Neuchâtel,,pending,,,
459,library,Staatsarchiv,,pending,,,
460,library,Convento della Madonna del Sasso,,pending,,,
461,library,Bibliothèque cantonale et universitaire - Lausanne,,pending,,,
462,library,Domschatz der St.-Ursen-Kathedrale,,pending,,,
463,library,Médiathèque Valais,,pending,,,
464,library,Bibliothèque cantonale jurassienne,,pending,,,
465,library,Stiftskirche St. Michael,,pending,,,
466,library,Stadtbibliothek,,pending,,,
467,library,Staatsarchiv Obwalden,,pending,,,
468,library,Provinzarchiv Schweizer Kapuziner Luzern,,pending,,,
469,library,Stadtarchiv Bremgarten,,pending,,,
470,library,Eisenbibliothek,,pending,,,
472,library,Archives de l'Etat du Valais/Staatsarchiv Wallis,,pending,,,
473,library,Archives cantonales vaudoises,,pending,,,
474,library,Congregation du Grand-Saint-Bernard,,pending,,,
475,library,Archivio parrocchiale,,pending,,,
476,library,Gemeinde Flawil,,pending,,,
477,library,Landesarchiv Appenzell Innerrhoden,,pending,,,
478,library,Pharmaziemuseum der Universität Basel,,pending,,,
479,library,Dorfarchiv Bever,,pending,,,
480,library,Musée gruérien,,pending,,,
481,library,Archivio parrocchiale,,pending,,,
482,library,Archivio parrocchiale,,pending,,,
483,library,Staatsarchiv Graubünden,,pending,,,
484,library,Archivio parrocchiale,,pending,,,
485,library,Romanische Bibliothek des Klosters Disentis,,pending,,,
486,library,Paroisse catholique Saint-Laurent,,pending,,,
487,library,Katholisches Pfarrarchiv Frauenfeld,,pending,,,
488,library,Benediktinerinnenkloster,,pending,,,
489,library,Korporation Luzern,,pending,,,
490,library,Staatsarchiv,,pending,,,
491,library,Archivio parrocchiale,,pending,,,
492,library,Benediktinerkloster,,pending,,,
